Name,Family,Series,# of CPU Cores,# of Threads,Base Clock,Max. Boost Clock,L3 Cache,Default TDP,CPU Socket,Graphics Model,Graphics Core Count,Launch Date,manufacturer
,,EPYC 7001 Series,16,32,2.2 GHz,Up to 2.7 GHz,64 MB,155W / 170W,SP3,,,,AMD
,,EPYC 7001 Series,16,32,2.1 GHz,Up to 2.7 GHz,32 MB,155W / 170W,SP3,,,,AMD
,,EPYC 7001 Series,8,16,2.5 GHz,Up to 2.9 GHz,64 MB,155W / 170W,SP3,,,,AMD
,,EPYC 7001 Series,8,16,2.1 GHz,Up to 2.9 GHz,32 MB,120W,SP3,,,,AMD
,,EPYC 4004 Series,16,32,4.2 GHz,Up to 5.7 GHz,128 MB,120W,AM5,,,,AMD
,,EPYC 4004 Series,16,32,4.5 GHz,Up to 5.7 GHz,64 MB,170W,AM5,,,,AMD
,,EPYC 4004 Series,12,24,4.4 GHz,Up to 5.6 GHz,128 MB,120W,AM5,,,,AMD
,,EPYC 4004 Series,12,24,3.7 GHz,Up to 5.4 GHz,64 MB,65W,AM5,,,,AMD
,,EPYC 4004 Series,8,16,4.5 GHz,Up to 5.4 GHz,32 MB,105W,AM5,,,,AMD
,,EPYC 4004 Series,8,16,3.8 GHz,Up to 5.3 GHz,32 MB,65W,AM5,,,,AMD
,,EPYC 4004 Series,6,12,3.8 GHz,Up to 5.1 GHz,32 MB,65W,AM5,,,,AMD
,,EPYC 4004 Series,4,8,3.8 GHz,Up to 5.1 GHz,16 MB,65W,AM5,,,,AMD
,,Opteron X2100 Series APU,4,4,2.4 GHz,,,25W,FT3,,,,AMD
,,Opteron X2100 Series APU,4,4,1.9 GHz,,,22W,FT3,,,,AMD
,,Opteron X1100 Series,4,4,2 GHz,,,17W,FT3,,,,AMD
,,Opteron 6300 Series,16,16,2.8 GHz,Up to 3.5 GHz,16 MB,140W,G34,,,,AMD
,,Opteron 6300 Series,16,16,2 GHz,Up to 2.5 GHz,16 MB,99W,G34,,,,AMD
,,Opteron 6300 Series,16,16,1.8 GHz,Up to 3.1 GHz,16 MB,85W,G34,,,,AMD
,,Opteron 6300 Series,12,12,2.3 GHz,Up to 2.8 GHz,16 MB,99W,G34,,,,AMD
,,Opteron 6300 Series,16,16,2.5 GHz,Up to 3.4 GHz,16 MB,115W,G34,,,,AMD
,,Opteron 6300 Series,16,16,2.4 GHz,Up to 3.3 GHz,16 MB,115W,G34,,,,AMD
,,Opteron 6300 Series,16,16,2.3 GHz,Up to 2 GHz,16 MB,115W,G34,,,,AMD
,,Opteron 6300 Series,12,12,2.8 GHz,Up to 3.4 GHz,16 MB,115W,G34,,,,AMD
,,Opteron 6300 Series,12,12,2.6 GHz,Up to 2 GHz,16 MB,115W,G34,,,,AMD
,,Opteron 6300 Series,8,8,3.2 GHz,Up to 3.8 GHz,16 MB,115W,G34,,,,AMD
,,Opteron 6300 Series,8,8,2.8 GHz,Up to 3.3 GHz,16 MB,115W,G34,,,,AMD
,,Opteron 6300 Series,4,4,3.5 GHz,,16 MB,115W,G34,,,,AMD
,,Opteron 4300 Series,8,8,2.6 GHz,Up to 3.6 GHz,8 MB,65W,C32,,,,AMD
,,Opteron 4300 Series,6,6,3 GHz,Up to 3.7 GHz,8 MB,65W,C32,,,,AMD
,,Opteron 4300 Series,6,6,2.2 GHz,Up to 3 GHz,8 MB,35W,C32,,,,AMD
,,Opteron 4300 Series,8,8,3.1 GHz,Up to 3.8 GHz,8 MB,95W,C32,,,,AMD
,,Opteron 4300 Series,8,8,2 GHz,Up to 2.8 GHz,8 MB,40W,C32,,,,AMD
,,Opteron 4300 Series,6,6,3.5 GHz,Up to 3.8 GHz,8 MB,95W,C32,,,,AMD
,,Opteron 4300 Series,6,6,3.1 GHz,Up to 3.5 GHz,8 MB,95W,C32,,,,AMD
,,Opteron 3300 Series,4,4,2.8 GHz,Up to 3.8 GHz,8 MB,45W,AM3+,,,,AMD
,,Opteron 3300 Series,4,4,1.9 GHz,Up to 2.5 GHz,8 MB,25W,AM3+,,,,AMD
,,Opteron 3300 Series,8,8,2.6 GHz,Up to 3.6 GHz,8 MB,65W,AM3+,,,,AMD
,,Opteron 3300 Series,8,8,2.3 GHz,Up to 3.3 GHz,8 MB,65W,AM3+,,,,AMD
,,Opteron 6200 Series,16,16,2.7 GHz,Up to 3.4 GHz,16 MB,140W,G34,,,,AMD
,,Opteron 6200 Series,16,16,2.6 GHz,Up to 3.3 GHz,16 MB,140W,G34,,,,AMD
,,Opteron 6200 Series,16,16,1.6 GHz,Up to 2.9 GHz,16 MB,85W,G34,,,,AMD
,,Opteron 6200 Series,16,16,2.4 GHz,Up to 3.3 GHz,16 MB,115W,G34,,,,AMD
,,Opteron 6200 Series,16,16,2.3 GHz,Up to 3.2 GHz,16 MB,115W,G34,,,,AMD
,,Opteron 6200 Series,16,16,2.2 GHz,Up to 3.1 GHz,16 MB,115W,G34,,,,AMD
,,Opteron 6200 Series,16,16,2.1 GHz,Up to 3 GHz,16 MB,115W,G34,,,,AMD
,,Opteron 6200 Series,12,12,2.6 GHz,Up to 3.2 GHz,16 MB,115W,G34,,,,AMD
,,Opteron 6200 Series,12,12,2.4 GHz,Up to 3 GHz,16 MB,115W,G34,,,,AMD
,,Opteron 6200 Series,8,8,3 GHz,Up to 3.6 GHz,16 MB,115W,G34,,,,AMD
,,Opteron 6200 Series,8,8,2.6 GHz,Up to 3.2 GHz,16 MB,115W,G34,,,,AMD
,,Opteron 6200 Series,4,4,3.3 GHz,,16 MB,115W,G34,,,,AMD
,,Opteron 4200 Series,8,8,2.6 GHz,Up to 3.6 GHz,8 MB,65W,C32,,,,AMD
,,Opteron 4200 Series,8,8,2.5 GHz,Up to 3.5 GHz,8 MB,65W,C32,,,,AMD
,,Opteron 4200 Series,8,8,1.6 GHz,Up to 2.8 GHz,8 MB,35W,C32,,,,AMD
,,Opteron 4200 Series,6,6,2.9 GHz,Up to 3.7 GHz,8 MB,65W,C32,,,,AMD
,,Opteron 4200 Series,6,6,2.8 GHz,Up to 3.6 GHz,8 MB,65W,C32,,,,AMD
,,Opteron 4200 Series,8,8,3 GHz,Up to 3.7 GHz,8 MB,95W,C32,,,,AMD
,,Opteron 4200 Series,8,8,2.8 GHz,Up to 2.2 GHz,8 MB,95W,C32,,,,AMD
,,Opteron 4200 Series,6,6,3.4 GHz,Up to 3.8 GHz,8 MB,95W,C32,,,,AMD
,,Opteron 4200 Series,6,6,3.3 GHz,Up to 3.7 GHz,8 MB,95W,C32,,,,AMD
,,Opteron 4200 Series,6,6,3.1 GHz,Up to 3.5 GHz,8 MB,95W,C32,,,,AMD
,,Opteron 4200 Series,6,6,2.7 GHz,Up to 3.1 GHz,8 MB,95W,C32,,,,AMD
,,Opteron 3200 Series,4,4,2.7 GHz,Up to 3.7 GHz,4 MB,45W,AM3+,,,,AMD
,,Opteron 3200 Series,,,2.5 GHz,Up to 3.5 GHz,4 MB,45W,AM3+,,,,AMD
,,Opteron 3200 Series,8,8,2.4 GHz,Up to 3.4 GHz,8 MB,65W,AM3+,,,,AMD
,,Opteron 6100 Series,12,12,2.5 GHz,,12 MB,140W,G34,,,,AMD
,,Opteron 6100 Series,12,12,1.8 GHz,,12 MB,85W,G34,,,,AMD
,,Opteron 6100 Series,8,8,2.2 GHz,,12 MB,85W,G34,,,,AMD
,,Opteron 6100 Series,12,12,2.3 GHz,,12 MB,115W,G34,,,,AMD
,,Opteron 6100 Series,8,8,2.6 GHz,,12 MB,115W,G34,,,,AMD
,,EPYC 9005 Series,192,384,2.25 GHz,Up to 3.7 GHz,384 MB,500W,SP5,,,10/10/2024,AMD
,,EPYC 9005 Series,160,320,2.1 GHz,Up to 3.7 GHz,320 MB,390W,SP5,,,10/10/2024,AMD
,,EPYC 9005 Series,144,288,2.2 GHz,Up to 3.7 GHz,384 MB,390W,SP5,,,10/10/2024,AMD
,,EPYC 9005 Series,128,256,2.7 GHz,Up to 4.1 GHz,512 MB,500W,SP5,,,10/10/2024,AMD
,,EPYC 9005 Series,128,256,2.4 GHz,Up to 3.7 GHz,256 MB,400W,SP5,,,10/10/2024,AMD
,,EPYC 9005 Series,96,192,2.6 GHz,Up to 4.5 GHz,384 MB,400W,SP5,,,10/10/2024,AMD
,,EPYC 9005 Series,96,192,2.6 GHz,Up to 4.5 GHz,384 MB,400W,SP5,,,10/10/2024,AMD
,,EPYC 9005 Series,96,192,2.3 GHz,Up to 3.7 GHz,256 MB,320W,SP5,,,10/10/2024,AMD
,,EPYC 9005 Series,64,128,3.3 GHz,Up to 5 GHz,256 MB,400W,SP5,,,10/10/2024,AMD
,,EPYC 9005 Series,72,144,3.15 GHz,Up to 4.3 GHz,384 MB,400W,SP5,,,10/10/2024,AMD
,,EPYC 9005 Series,64,128,3.2 GHz,Up to 4.4 GHz,256 MB,360W,SP5,,,10/10/2024,AMD
,,EPYC 9005 Series,64,128,3.2 GHz,Up to 4.4 GHz,256 MB,360W,SP5,,,10/10/2024,AMD
,,EPYC 9005 Series,64,128,2.4 GHz,Up to 4.3 GHz,256 MB,300W,SP5,,,10/10/2024,AMD
,,EPYC 9005 Series,48,96,3.65 GHz,Up to 4.8 GHz,256 MB,400W,SP5,,,10/10/2024,AMD
,,EPYC 9005 Series,48,96,3.15 GHz,Up to 4.4 GHz,256 MB,300W,SP5,,,10/10/2024,AMD
,,EPYC 9005 Series,48,96,3.15 GHz,Up to 4.4 GHz,256 MB,300W,SP5,,,10/10/2024,AMD
,,EPYC 9005 Series,32,64,3.8 GHz,Up to 4.8 GHz,256 MB,320W,SP5,,,10/10/2024,AMD
,,EPYC 9005 Series,36,72,3.4 GHz,Up to 4.3 GHz,192 MB,300W,SP5,,,10/10/2024,AMD
,,EPYC 9005 Series,32,64,3.55 GHz,Up to 4.4 GHz,256 MB,280W,SP5,,,10/10/2024,AMD
,,EPYC 9005 Series,32,64,3.55 GHz,Up to 4.4 GHz,256 MB,280W,SP5,,,10/10/2024,AMD
,,EPYC 9005 Series,32,64,3 GHz,Up to 4.4 GHz,128 MB,210W,SP5,,,10/10/2024,AMD
,,EPYC 9005 Series,24,48,4.1 GHz,Up to 4.8 GHz,256 MB,320W,SP5,,,10/10/2024,AMD
,,EPYC 9005 Series,24,48,3.2 GHz,Up to 4.3 GHz,128 MB,200W,SP5,,,10/10/2024,AMD
,,EPYC 9005 Series,16,32,4.2 GHz,Up to 5 GHz,512 MB,320W,SP5,,,10/10/2024,AMD
,,EPYC 9005 Series,16,32,3.65 GHz,Up to 4.3 GHz,64 MB,200W,SP5,,,10/10/2024,AMD
,,EPYC 9005 Series,16,32,2.6 GHz,Up to 4.1 GHz,64 MB,125W,SP5,,,10/10/2024,AMD
,,EPYC 9005 Series,8,16,3.6 GHz,Up to 4.1 GHz,64 MB,125W,SP5,,,10/10/2024,AMD
,,EPYC 9004 Series,128,128,2.25 GHz,Up to 3.1 GHz,256 MB,360W,SP5,,,06/13/2023,AMD
,,EPYC 9004 Series,128,256,2.25 GHz,Up to 3.1 GHz,256 MB,360W,SP5,,,06/13/2023,AMD
,,EPYC 9004 Series,112,224,2.2 GHz,Up to 3 GHz,256 MB,340W,SP5,,,06/13/2023,AMD
,,EPYC 9004 Series,96,192,2.55 GHz,Up to 3.7 GHz,1152 MB,400W,SP5,,,06/13/2023,AMD
,,EPYC 9004 Series,96,192,2.4 GHz,Up to 3.7 GHz,384 MB,360W,SP5,,,11/10/2022,AMD
,,EPYC 9004 Series,96,192,2.4 GHz,Up to 3.7 GHz,384 MB,360W,SP5,,,11/10/2022,AMD
,,EPYC 9004 Series,84,168,2.25 GHz,Up to 3.7 GHz,384 MB,290W,SP5,,,11/10/2022,AMD
,,EPYC 9004 Series,64,128,3.1 GHz,Up to 3.75 GHz,256 MB,360W,SP5,,,11/10/2022,AMD
,,EPYC 9004 Series,64,128,3.1 GHz,Up to 3.75 GHz,256 MB,360W,SP5,,,11/10/2022,AMD
,,EPYC 9004 Series,64,128,2.45 GHz,Up to 3.7 GHz,256 MB,280W,SP5,,,11/10/2022,AMD
,,EPYC 9004 Series,48,96,3.6 GHz,Up to 4.1 GHz,256 MB,360W,SP5,,,11/10/2022,AMD
,,EPYC 9004 Series,48,96,2.75 GHz,Up to 3.8 GHz,256 MB,290W,SP5,,,11/10/2022,AMD
,,EPYC 9004 Series,48,96,2.75 GHz,Up to 3.8 GHz,256 MB,290W,SP5,,,11/10/2022,AMD
,,EPYC 9004 Series,32,64,3.1 GHz,Up to 3.9 GHz,768 MB,320W,SP5,,,06/13/2023,AMD
,,EPYC 9004 Series,32,64,3.85 GHz,Up to 4.3 GHz,256 MB,320W,SP5,,,11/10/2022,AMD
,,EPYC 9004 Series,32,64,3.25 GHz,Up to 3.8 GHz,256 MB,280W,SP5,,,11/10/2022,AMD
,,EPYC 9004 Series,32,64,3.25 GHz,Up to 3.8 GHz,256 MB,280W,SP5,,,11/10/2022,AMD
,,EPYC 9004 Series,32,64,2.7 GHz,Up to 3.9 GHz,128 MB,210W,SP5,,,11/10/2022,AMD
,,EPYC 9004 Series,24,48,4.05 GHz,Up to 4.3 GHz,256 MB,320W,SP5,,,11/10/2022,AMD
,,EPYC 9004 Series,24,48,2.9 GHz,Up to 4.15 GHz,128 MB,200W,SP5,,,11/10/2022,AMD
,,EPYC 9004 Series,24,48,2.5 GHz,Up to 3.7 GHz,64 MB,200W,SP5,,,11/10/2022,AMD
,,EPYC 9004 Series,16,32,3.55 GHz,Up to 4.2 GHz,768 MB,320W,SP5,,,06/13/2023,AMD
,,EPYC 9004 Series,16,32,4.1 GHz,Up to 4.4 GHz,256 MB,320W,SP5,,,11/10/2022,AMD
,,EPYC 9004 Series,16,32,3 GHz,Up to 3.7 GHz,64 MB,200W,SP5,,,11/10/2022,AMD
,,EPYC 8004 Series,64,128,2 GHz,Up to 3.1 GHz,128 MB,175W,SP6,,,09/18/2023,AMD
,,EPYC 8004 Series,64,128,2.3 GHz,Up to 3.1 GHz,128 MB,200W,SP6,,,09/18/2023,AMD
,,EPYC 8004 Series,48,96,2 GHz,Up to 3 GHz,128 MB,155W,SP6,,,09/18/2023,AMD
,,EPYC 8004 Series,48,96,2.5 GHz,Up to 3.1 GHz,128 MB,200W,SP6,,,09/18/2023,AMD
,,EPYC 8004 Series,32,64,2.05 GHz,Up to 3 GHz,128 MB,130W,SP6,,,09/18/2023,AMD
,,EPYC 8004 Series,32,64,2.65 GHz,Up to 3 GHz,128 MB,180W,SP6,,,09/18/2023,AMD
,,EPYC 8004 Series,24,48,2 GHz,Up to 3 GHz,64 MB,120W,SP6,,,09/18/2023,AMD
,,EPYC 8004 Series,24,48,2.55 GHz,Up to 3 GHz,64 MB,160W,SP6,,,09/18/2023,AMD
,,EPYC 8004 Series,16,32,2 GHz,Up to 3 GHz,64 MB,100W,SP6,,,09/18/2023,AMD
,,EPYC 8004 Series,16,32,2.45 GHz,Up to 3 GHz,64 MB,125W,SP6,,,09/18/2023,AMD
,,EPYC 8004 Series,8,16,2.05 GHz,Up to 3 GHz,32 MB,80W,SP6,,,09/18/2023,AMD
,,EPYC 8004 Series,8,16,2.4 GHz,Up to 3 GHz,32 MB,90W,SP6,,,09/18/2023,AMD
,,EPYC 7003 Series,8,16,2.8 GHz,Up to 3.4 GHz,64 MB,120W,SP3,,,09/05/2023,AMD
,,EPYC 7003 Series,8,16,2.8 GHz,Up to 3.4 GHz,64 MB,120W,SP3,,,09/05/2023,AMD
,,EPYC 7003 Series,16,32,2.4 GHz,Up to 3.4 GHz,64 MB,130W,SP3,,,09/05/2023,AMD
,,EPYC 7003 Series,16,32,2.4 GHz,Up to 3.4 GHz,64 MB,130W,SP3,,,09/05/2023,AMD
,,EPYC 7003 Series,48,96,2.3 GHz,Up to 3.6 GHz,256 MB,225W,SP3,,,09/05/2023,AMD
,,EPYC 7003 Series,64,128,2.2 GHz,Up to 3.5 GHz,768 MB,280W,SP3,,,03/22/2021,AMD
,,EPYC 7003 Series,64,128,2.45 GHz,Up to 3.5 GHz,256 MB,280W,SP3,,,03/15/2021,AMD
,,EPYC 7003 Series,64,128,2 GHz,Up to 3.67 GHz,256 MB,225W,SP3,,,03/15/2021,AMD
,,EPYC 7003 Series,64,128,2 GHz,Up to 3.67 GHz,256 MB,225W,SP3,,,03/15/2021,AMD
,,EPYC 7003 Series,56,112,2 GHz,Up to 3.5 GHz,256 MB,240W,SP3,,,03/15/2021,AMD
,,EPYC 7003 Series,48,96,2.3 GHz,Up to 3.6 GHz,256 MB,225W,SP3,,,03/15/2021,AMD
,,EPYC 7003 Series,56,112,2 GHz,Up to 3.5 GHz,256 MB,240W,SP3,,,09/05/2023,AMD
,,EPYC 7003 Series,32,64,2.95 GHz,Up to 4 GHz,256 MB,280W,SP3,,,03/15/2021,AMD
,,EPYC 7003 Series,32,64,2.8 GHz,Up to 3.6 GHz,768 MB,280W,SP3,,,03/22/2021,AMD
,,EPYC 7003 Series,32,64,2.8 GHz,Up to 3.7 GHz,256 MB,225W,SP3,,,03/15/2021,AMD
,,EPYC 7003 Series,32,64,2.8 GHz,Up to 3.7 GHz,256 MB,225W,SP3,,,03/15/2021,AMD
,,EPYC 7003 Series,32,64,2.6 GHz,Up to 3.65 GHz,128 MB,200W,SP3,,,03/15/2021,AMD
,,EPYC 7003 Series,24,48,3.2 GHz,Up to 4 GHz,256 MB,240W,SP3,,,03/15/2021,AMD
,,EPYC 7003 Series,24,48,2.8 GHz,Up to 3.7 GHz,768 MB,240W,SP3,,,03/22/2021,AMD
,,EPYC 7003 Series,28,56,2.75 GHz,Up to 3.45 GHz,64 MB,225W,SP3,,,03/15/2021,AMD
,,EPYC 7003 Series,24,48,2.85 GHz,Up to 4 GHz,128 MB,200W,SP3,,,03/15/2021,AMD
,,EPYC 7003 Series,24,48,2.85 GHz,Up to 4 GHz,128 MB,200W,SP3,,,03/15/2021,AMD
,,EPYC 7003 Series,24,48,2.65 GHz,Up to 3.6 GHz,128 MB,180W,SP3,,,03/15/2021,AMD
,,EPYC 7003 Series,16,32,3.5 GHz,Up to 4 GHz,256 MB,240W,SP3,,,03/15/2021,AMD
,,EPYC 7003 Series,16,32,3.05 GHz,Up to 3.8 GHz,768 MB,240W,SP3,,,03/22/2021,AMD
,,EPYC 7003 Series,16,32,3.2 GHz,Up to 3.9 GHz,128 MB,190W,SP3,,,03/15/2021,AMD
,,EPYC 7003 Series,16,32,3 GHz,Up to 3.7 GHz,128 MB,155W,SP3,,,03/15/2021,AMD
,,EPYC 7003 Series,16,32,3 GHz,Up to 3.7 GHz,128 MB,155W,SP3,,,03/15/2021,AMD
,,EPYC 7003 Series,8,16,3.7 GHz,Up to 4.1 GHz,256 MB,180W,SP3,,,03/15/2021,AMD
,,EPYC 7002 Series,64,128,2.6 GHz,Up to 3.3 GHz,256 MB,280W,SP3,,,,AMD
,,EPYC 7002 Series,24,48,3.2 GHz,Up to 3.7 GHz,192 MB,240W,SP3,,,,AMD
,,EPYC 7002 Series,16,32,3.5 GHz,Up to 3.9 GHz,256 MB,240W,SP3,,,,AMD
,,EPYC 7002 Series,8,16,3.7 GHz,Up to 3.9 GHz,128 MB,180W,SP3,,,,AMD
,,EPYC 4005 Series,16,32,4.3 GHz,Up to 5.7 GHz,128 MB,170W,AM5,,,5/13/2025,AMD
,,EPYC 7002 Series,64,128,2.25 GHz,Up to 3.4 GHz,256 MB,225W,SP3,,,,AMD
,,EPYC 4005 Series,16,32,4.3 GHz,Up to 5.7 GHz,64 MB,170W,AM5,,,5/13/2025,AMD
,,EPYC 4005 Series,16,32,3 GHz,Up to 5.4 GHz,64 MB,65W,AM5,,,5/13/2025,AMD
,,EPYC 7002 Series,64,128,2 GHz,Up to 3.35 GHz,256 MB,200W,SP3,,,,AMD
,,EPYC 4005 Series,12,24,3.4 GHz,Up to 5.4 GHz,64 MB,65W,AM5,,,5/13/2025,AMD
,,EPYC 4005 Series,8,16,3.8 GHz,Up to 5.5 GHz,32 MB,65W,AM5,,,5/13/2025,AMD
,,EPYC 7002 Series,64,128,2 GHz,Up to 3.35 GHz,256 MB,200W,SP3,,,,AMD
,,EPYC 4005 Series,6,12,3.9 GHz,Up to 5.4 GHz,32 MB,65W,AM5,,,5/13/2025,AMD
,,EPYC 7002 Series,64,128,2 GHz,Up to 3.3 GHz,256 MB,225W,SP3,,,,AMD
,,EPYC 7002 Series,48,96,2.3 GHz,Up to 3.3 GHz,256 MB,225W,SP3,,,,AMD
,,EPYC 7002 Series,48,96,2.2 GHz,Up to 3.3 GHz,192 MB,200W,SP3,,,,AMD
,,EPYC 7002 Series,32,64,2.9 GHz,Up to 3.4 GHz,128 MB,225W,SP3,,,,AMD
,,EPYC 7002 Series,32,64,2.4 GHz,Up to 3.3 GHz,256 MB,200W,SP3,,,,AMD
,,EPYC 7002 Series,32,64,2.5 GHz,Up to 3.35 GHz,128 MB,180W,SP3,,,,AMD
,,EPYC 7002 Series,32,64,2.5 GHz,Up to 3.35 GHz,128 MB,180W,SP3,,,,AMD
,,EPYC 7002 Series,32,64,2.35 GHz,Up to 3.35 GHz,128 MB,155W,SP3,,,,AMD
,,EPYC 7002 Series,24,48,2.8 GHz,Up to 3.35 GHz,128 MB,180W,SP3,,,,AMD
,,EPYC 7002 Series,24,48,2.8 GHz,Up to 3.35 GHz,128 MB,180W,SP3,,,,AMD
,,EPYC 7002 Series,24,48,2.3 GHz,Up to 3.2 GHz,128 MB,155W,SP3,,,,AMD
,,EPYC 7002 Series,16,32,3 GHz,Up to 3.3 GHz,128 MB,155W,SP3,,,,AMD
,,EPYC 7002 Series,16,32,3 GHz,Up to 3.3 GHz,128 MB,155W,SP3,,,,AMD
,,EPYC 7002 Series,16,32,2.8 GHz,Up to 3.2 GHz,64 MB,120W,SP3,,,,AMD
,,EPYC 7002 Series,12,24,2.9 GHz,Up to 3.2 GHz,64 MB,120W,SP3,,,,AMD
,,EPYC 7002 Series,8,16,3.2 GHz,Up to 3.4 GHz,128 MB,155W,SP3,,,,AMD
,,EPYC 7002 Series,8,16,3.1 GHz,Up to 3.2 GHz,64 MB,120W,SP3,,,,AMD
,,EPYC 7002 Series,8,16,3.1 GHz,Up to 3.2 GHz,32 MB,120W,SP3,,,,AMD
,,EPYC 7001 Series,32,64,2.2 GHz,Up to 3.2 GHz,64 MB,180W,SP3,,,,AMD
,,EPYC 7001 Series,32,64,2 GHz,Up to 3 GHz,64 MB,180W,SP3,,,,AMD
,,EPYC 7001 Series,32,64,2 GHz,Up to 3 GHz,64 MB,180W,SP3,,,,AMD
,,EPYC 7001 Series,32,64,2 GHz,Up to 3 GHz,64 MB,155W / 170W,SP3,,,,AMD
,,EPYC 7001 Series,24,48,2.3 GHz,Up to 3.2 GHz,64 MB,180W,SP3,,,,AMD
,,EPYC 7001 Series,24,48,2 GHz,Up to 3 GHz,64 MB,155W / 170W,SP3,,,,AMD
,,EPYC 7001 Series,24,48,2 GHz,Up to 3 GHz,64 MB,155W / 170W,SP3,,,,AMD
,,EPYC 7001 Series,16,32,3.1 GHz,Up to 3.8 GHz,64 MB,200W,SP3,,,,AMD
,,EPYC 7001 Series,16,32,2.4 GHz,Up to 2.9 GHz,64 MB,155W / 170W,SP3,,,,AMD
,,EPYC 7001 Series,16,32,2.4 GHz,Up to 2.9 GHz,64 MB,155W / 170W,SP3,,,,AMD
,,EPYC 7001 Series,16,32,2.2 GHz,Up to 2.7 GHz,64 MB,155W / 170W,SP3,,,,AMD
,,EPYC 7001 Series,16,32,2.1 GHz,Up to 2.7 GHz,32 MB,155W / 170W,SP3,,,,AMD
,,EPYC 7001 Series,8,16,2.5 GHz,Up to 2.9 GHz,64 MB,155W / 170W,SP3,,,,AMD
,,EPYC 7001 Series,8,16,2.1 GHz,Up to 2.9 GHz,32 MB,120W,SP3,,,,AMD
,,EPYC 4004 Series,16,32,4.2 GHz,Up to 5.7 GHz,128 MB,120W,AM5,,,,AMD
,,EPYC 4004 Series,16,32,4.5 GHz,Up to 5.7 GHz,64 MB,170W,AM5,,,,AMD
,,EPYC 4004 Series,12,24,4.4 GHz,Up to 5.6 GHz,128 MB,120W,AM5,,,,AMD
,,EPYC 4004 Series,12,24,3.7 GHz,Up to 5.4 GHz,64 MB,65W,AM5,,,,AMD
,,EPYC 4004 Series,8,16,4.5 GHz,Up to 5.4 GHz,32 MB,105W,AM5,,,,AMD
,,EPYC 4004 Series,8,16,3.8 GHz,Up to 5.3 GHz,32 MB,65W,AM5,,,,AMD
,,EPYC 4004 Series,6,12,3.8 GHz,Up to 5.1 GHz,32 MB,65W,AM5,,,,AMD
,,EPYC 4004 Series,4,8,3.8 GHz,Up to 5.1 GHz,16 MB,65W,AM5,,,,AMD
,,Opteron X2100 Series APU,4,4,2.4 GHz,,,25W,FT3,,,,AMD
,,Opteron X2100 Series APU,4,4,1.9 GHz,,,22W,FT3,,,,AMD
,,Opteron X1100 Series,4,4,2 GHz,,,17W,FT3,,,,AMD
,,Opteron 6300 Series,16,16,2.8 GHz,Up to 3.5 GHz,16 MB,140W,G34,,,,AMD
,,Opteron 6300 Series,16,16,2 GHz,Up to 2.5 GHz,16 MB,99W,G34,,,,AMD
,,Opteron 6300 Series,16,16,1.8 GHz,Up to 3.1 GHz,16 MB,85W,G34,,,,AMD
,,Opteron 6300 Series,12,12,2.3 GHz,Up to 2.8 GHz,16 MB,99W,G34,,,,AMD
,,Opteron 6300 Series,16,16,2.5 GHz,Up to 3.4 GHz,16 MB,115W,G34,,,,AMD
,,Opteron 6300 Series,16,16,2.4 GHz,Up to 3.3 GHz,16 MB,115W,G34,,,,AMD
,,Opteron 6300 Series,16,16,2.3 GHz,Up to 2 GHz,16 MB,115W,G34,,,,AMD
,,Opteron 6300 Series,12,12,2.8 GHz,Up to 3.4 GHz,16 MB,115W,G34,,,,AMD
,,Opteron 6300 Series,12,12,2.6 GHz,Up to 2 GHz,16 MB,115W,G34,,,,AMD
,,Opteron 6300 Series,8,8,3.2 GHz,Up to 3.8 GHz,16 MB,115W,G34,,,,AMD
,,Opteron 6300 Series,8,8,2.8 GHz,Up to 3.3 GHz,16 MB,115W,G34,,,,AMD
,,Opteron 6300 Series,4,4,3.5 GHz,,16 MB,115W,G34,,,,AMD
,,Opteron 4300 Series,8,8,2.6 GHz,Up to 3.6 GHz,8 MB,65W,C32,,,,AMD
,,Opteron 4300 Series,6,6,3 GHz,Up to 3.7 GHz,8 MB,65W,C32,,,,AMD
,,Opteron 4300 Series,6,6,2.2 GHz,Up to 3 GHz,8 MB,35W,C32,,,,AMD
,,Opteron 4300 Series,8,8,3.1 GHz,Up to 3.8 GHz,8 MB,95W,C32,,,,AMD
,,Opteron 4300 Series,8,8,2 GHz,Up to 2.8 GHz,8 MB,40W,C32,,,,AMD
,,Opteron 4300 Series,6,6,3.5 GHz,Up to 3.8 GHz,8 MB,95W,C32,,,,AMD
,,Opteron 4300 Series,6,6,3.1 GHz,Up to 3.5 GHz,8 MB,95W,C32,,,,AMD
,,Opteron 3300 Series,4,4,2.8 GHz,Up to 3.8 GHz,8 MB,45W,AM3+,,,,AMD
,,Opteron 3300 Series,4,4,1.9 GHz,Up to 2.5 GHz,8 MB,25W,AM3+,,,,AMD
,,Opteron 3300 Series,8,8,2.6 GHz,Up to 3.6 GHz,8 MB,65W,AM3+,,,,AMD
,,Opteron 3300 Series,8,8,2.3 GHz,Up to 3.3 GHz,8 MB,65W,AM3+,,,,AMD
,,Opteron 6200 Series,16,16,2.7 GHz,Up to 3.4 GHz,16 MB,140W,G34,,,,AMD
,,Opteron 6200 Series,16,16,2.6 GHz,Up to 3.3 GHz,16 MB,140W,G34,,,,AMD
,,Opteron 6200 Series,16,16,1.6 GHz,Up to 2.9 GHz,16 MB,85W,G34,,,,AMD
